2020-10-14 20:16:06,343 INFO     Experiment started
2020-10-14 20:16:06,343 INFO     Namespace(batch_size=1024, epochs=1, lr=0.01)
2020-10-14 20:16:21,004 INFO                   precision    recall  f1-score   support

           0       0.05      0.00      0.00     12145
           1       0.07      0.00      0.01     22047
           2       0.19      0.22      0.20     55394
           3       0.06      0.00      0.00     23919
           4       0.10      0.01      0.02     31125
           5       0.17      0.03      0.05     49082
           6       0.04      0.04      0.04     13254
           7       0.11      0.01      0.02     32687
           8       0.10      0.02      0.03     28652
           9       0.10      0.67      0.17     28134

    accuracy                           0.12    296439
   macro avg       0.10      0.10      0.05    296439
weighted avg       0.12      0.12      0.07    296439

